description,description_local,unit,unit_local,local_language,carb,energy,protein,fat,meal_time,meal_time_local
"[""Brown Sugar Bread"", ""Sachet Jam"", ""Consommé Stew"", ""Fruit"", ""Milk""]","[""黒糖食パン120g"", ""袋ジャム"", ""コンソメ煮"", ""果物"", ""牛乳""]",[],[],Japanese,"[61.1, 9.8, 5.7, 22.3, 9.6]","[325.0, 38.0, 48.0, 85.0, 134.0]","[8.5, 0.0, 6.1, 1.1, 6.6]","[4.0, 0.0, 0.5, 0.2, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Japanese Sea Bass Teriyaki"", ""Bok Choy with Chinese Dressing"", ""Grilled Deep-Fried Tofu""]","[""米飯200"", ""スズキの照焼70g"", ""青梗菜中華浸し"", ""焼き厚揚げ""]",[],[],Japanese,"[74.2, 12.0, 4.7, 3.1]","[336.0, 168.0, 54.0, 102.0]","[5.0, 17.4, 0.9, 6.8]","[0.6, 5.3, 3.7, 6.8]",lunch,昼
"[""Cooked Rice"", ""Beef Stew"", ""Fresh Vegetable Salad"", ""Canned Fruit""]","[""米飯200"", ""ビーフシチュー"", ""生野菜サラダ"", ""果物缶""]",[],[],Japanese,"[74.2, 24.1, 3.0, 10.2]","[336.0, 261.0, 13.0, 42.0]","[5.0, 14.0, 0.4, 0.2]","[0.6, 12.0, 0.0, 0.1]",dinner,夕
"[""Milk bread (120g)"", ""Margarine"", ""Vegetable Salad"", ""Fruit Jelly"", ""Milk""]","[""食パン120g"", ""マーガリン"", ""野菜サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 0.0, 2.4, 10.9, 9.6]","[330.0, 59.0, 27.0, 44.0, 134.0]","[8.9, 0.0, 4.2, 0.1, 6.6]","[4.9, 6.6, 0.3, 0.0, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Steamed Chicken"", ""Ponzu Sauce"", ""Grated Daikon Radish"", ""Peanut Dressed Vegetables"", ""Ume Plum Dressed Vegetables""]","[""米飯200"", ""蒸し鶏"", ""Pポン酢(蒸し鶏用)"", ""おろし"", ""ピーナツ和え"", ""梅肉和え""]",[],[],Japanese,"[74.2, 1.9, 0.8, 2.9, 5.5, 4.8]","[336.0, 113.0, 4.0, 13.0, 56.0, 22.0]","[5.0, 15.5, 0.3, 0.4, 2.7, 1.0]","[0.6, 4.0, 0.0, 0.1, 2.9, 0.2]",lunch,昼
"[""Steamed rice"", ""Tempura"", ""Tempura dipping sauce"", ""Blanched spinach and enoki mushrooms in dashi"", ""Ginger soy sauce dressed side dish""]","[""米飯200"", ""てんぷら"", ""天つゆ"", ""ほうれん草とえのきの浸し"", ""生姜醤油和え""]",[],[],Japanese,"[74.2, 22.9, 5.8, 3.2, 4.4]","[336.0, 257.0, 31.0, 19.0, 24.0]","[5.0, 14.7, 1.9, 2.8, 1.8]","[0.6, 11.5, 0.2, 0.1, 0.2]",dinner,夕
"[""White bread (120g)"", ""Jam sachet"", ""Egg salad"", ""Fruit jelly"", ""Milk""]","[""食パン120g"", ""袋ジャム"", ""卵サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 9.8, 2.0, 12.3, 9.6]","[330.0, 38.0, 112.0, 50.0, 134.0]","[8.9, 0.0, 3.8, 0.2, 6.6]","[4.9, 0.0, 9.9, 0.0, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Beef Stroganoff"", ""Pumpkin Salad"", ""Garlic Sauté""]","[""米飯200"", ""ビーフストロガノフ風"", ""かぼちゃサラダ"", ""ガーリックソテー""]",[],[],Japanese,"[74.2, 17.2, 18.1, 4.9]","[336.0, 243.0, 122.0, 57.0]","[5.0, 15.1, 2.0, 2.6]","[0.6, 12.2, 5.3, 4.3]",lunch,昼
"[""Cooked rice (200g)"", ""Deep-fried chicken"", ""Daikon radish salad"", ""Egg drop soup""]","[""米飯200"", ""竜田揚げ"", ""大根なます"", ""かき玉汁""]",[],[],Japanese,"[74.2, 6.9, 9.2, 1.3]","[336.0, 276.0, 44.0, 40.0]","[5.0, 14.7, 0.6, 4.0]","[0.6, 19.9, 0.7, 2.2]",dinner,夕
"[""Dinner roll 120g"", ""Jam packet"", ""Macaroni salad"", ""Fruit"", ""Milk""]","[""ロールパン120g"", ""袋ジャム"", ""マカロニサラダ"", ""果物"", ""牛乳""]",[],[],Japanese,"[60.2, 9.8, 6.9, 22.3, 9.6]","[368.0, 38.0, 82.0, 85.0, 134.0]","[8.4, 0.0, 3.3, 1.1, 6.6]","[9.2, 0.0, 4.6, 0.2, 7.6]",breakfast,朝
